PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,Potency,Efficacy,Fit_HillSlope,Fit_R2,Fit_InfiniteActivity,Fit_ZeroActivity,Fit_CurveClass,Excluded_Points,Max_Response,Activity at 0.049 uM,Activity at 0.111 uM,Activity at 0.223 uM,Activity at 0.389 uM,Activity at 0.446 uM,Activity at 0.890 uM,Activity at 1.786 uM,Activity at 3.090 uM,Activity at 3.571 uM,Activity at 6.310 uM,Activity at 7.147 uM,Activity at 14.27 uM,Activity at 28.53 uM,Activity at 57.14 uM,Activity at 100.00 uM
,57288371,439260,C1=CC(=C(C=C1[C@H](CN)O)O)O,5.6234,93.096,2.2526,0.9605,-99.432,-6.336,-1.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-96.5,-4.25,-7.2,-10.8,-11.5,,-0.85,-13.05,-21.45,,-55.5,-72.7,-90.6,-95.95,,-96
,57288362,647821,CCOC(=O)C1=NN(C(=O)C2=C(SC=C21)N)C3=CC=CC=C3,3.9811,75.0146,1.9282,0.9918,-80.9382,-5.9236,-1.1,0 0 0 0 0 0 0 0 0 0,-80.9373,,-10.5681,-7.8303,,-3.0272,-6.34,-23.2824,,-36.4256,,-62.0788,-75.8291,-79.6184,-80.9373,
,845471,647821,CCOC(=O)C1=NN(C(=O)C2=C(SC=C21)N)C3=CC=CC=C3,7.9433,94.062,1.8851,0.949,-94.5825,-0.5205,-1.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0,-94,-0.65,0.2,-0.65,-4.3,,1.1,-5.8,-6.05,,-38.85,-55.85,-59.8,0.9,,-93.95
,57288361,648952,CCOC(=O)C1=NN(C(=O)C(=C1C)C#N)C2=CC=CC=C2,,,,,,,4,0 0 0 0 0 1 0 0 0 0,-7.319,,1.3605,4.5928,,4.9176,2.7144,3.1372,,10.3055,,-3.4827,-3.7431,0.6352,-7.319,
,57288389,686852,CCOC(=O)C1=NN(C(=O)C2=C(SC=C21)N)C3=CC=C(C=C3)F,5.0119,84.6227,1.1,0.9717,-89.9172,-5.2944,-1.1,0 0 0 0 0 0 0 0 0 0,-81.8256,,-4.3176,-4.0897,,-15.2305,-19.3026,-31.1932,,-28.2273,,-59.6959,-72.6718,-79.3186,-81.8256,
,57288364,719449,CCOC(=O)C1=NN(C(=O)C2=C(SC=C21)N)C3=CC=C(C=C3)OC,0.631,76.673,0.7,0.9427,-81.57,-4.8971,-1.1,0 0 0 0 0 0 0 0 0 0,-81.494,,-22.8858,-19.2665,,-45.2952,-52.0799,-57.7696,,-57.0637,,-71.2283,-72.5817,-76.6093,-81.494,
,57288365,719449,CCOC(=O)C1=NN(C(=O)C2=C(SC=C21)N)C3=CC=C(C=C3)OC,3.1623,70.4022,2.0479,0.9913,-80.2547,-9.8525,-1.1,0 0 0 0 0 0 0 0 0 0,-84.0371,,-8.1183,-6.7716,,-14.8959,-16.017,-24.718,,-51.7799,,-68.924,-76.0463,-74.8847,-84.0371,
,4259887,719449,CCOC(=O)C1=NN(C(=O)C2=C(SC=C21)N)C3=CC=C(C=C3)OC,19.9526,104.784,1.21,0.8973,-107.088,-2.304,-1.3,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-94.4,-2.25,-7.1,-3.8,-5.1,,-4.5,7.5,-12.85,,-22.7,-39.05,-31.8,-62.05,,-94.7
,22412167,736077,CC1=C2C(=C(S1)N)C(=O)N(N=C2C(=O)OC)C3=CC=C(C=C3)OC,44.6684,71.5,1.8617,0.8616,-75.98,-4.48,-2.4,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-55.8,-10.4,-9.65,-1.65,-3.35,,-0.25,1.1,-4.25,,-10.2,-9.35,-8.3,-22.35,,-63.3
,57288379,753455,CCOC(=O)C1=NN(C(=O)C2=C(SC=C21)N)C3=CC=C(C=C3)Cl,2.2387,65.376,1.331,0.9556,-76.5215,-11.1454,-1.1,0 0 0 0 0 0 0 0 0 0,-81.5076,,-18.2049,-8.6315,,-20.1201,-18.3618,-47.1904,,-52.8014,,-65.8562,-64.5181,-72.3581,-81.5076,
,4261587,753627,COC1=CC=CC(=C1O)CNC2=CC=CC3=C2N=CC=C3,28.1838,54.66,1.4641,0.8419,-59.2,-4.54,-1.4,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-51.6,-5.55,-8,0.6,-3.7,,-7.05,-6.95,-7.95,,-8.75,-8.15,-19.8,-29.1,,-51.7
,57288404,798725,CCOC(=O)C1=NN(C(=O)C2=C(SC=C21)N)C3=CC(=C(C=C3)C)C,3.1623,40.2783,2.3332,0.9419,-50.1542,-9.8758,-1.2,0 0 0 0 0 0 0 0 0 0,-52.2703,,-6.5798,-17.6711,,-5.1353,-15.7978,-12.7052,,-37.5558,,-44.2358,-49.4477,-46.106,-52.2703,
,4255295,829764,CCN(CC)C1=CC2=C(C=C1)OC(=O)C(=N2)C,10,94.7925,1.331,0.9616,-102.832,-8.04,-1.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-95.9,-9.9,-9.8,-2.2,-9.9,,-16.4,-15.5,-22.25,,-33.3,-54.5,-59.15,-86.15,,-96.45
,14718768,841172,CCN1C(=CC=N1)C(=O)NC2=CC(=CC(=C2)Cl)Cl,,,,,,,4,,-12,-0.8,-2.15,-0.7,-5.6,,1.6,-1.45,-1.15,,1.45,8.7,-1.3,-4.95,,-4.3
,24803205,890662,C1=CC=C(C(=C1)CNC2=CC=CC3=C2N=CC=C3)O,39.8107,128.44,1.2876,0.9709,-123.81,4.6305,-2.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-92.3,4.4,-0.35,5.9,3.25,,6.65,1.95,3,,-1.2,-19.55,-15.1,-42.65,,-93.45
,4257143,892123,CN1C=C(C(=N1)C(=O)NC2=C(C(=CC=C2)Cl)Cl)Cl,,,,,,,4,,-5.8,-8.9,-14.1,-12.7,-19.35,,-11.05,-15.7,-19.05,,-14.3,-14.05,-15.15,-14.15,,-15.1
,14728035,903329,CN1C(=C(C=N1)Cl)C(=O)NC2=CC(=CC=C2)Cl,44.6684,102.935,1.5095,0.9349,-109.585,-6.65,-1.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-82.7,-10.05,-13.05,-7.65,-2.25,,0.85,-5,-7.2,,-7.8,-23.55,-18.75,-35.15,,-86.25
,26658460,939236,COC1=CC2=C(C=C1)NC(=O)C(=C2)CNC3=CC=CC=C3OC,25.1189,95.74,1.4641,0.9266,-103.78,-8.04,-1.1,1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0,-89.8,-18.8,-11.5,-4.2,-6.6,,-10.8,-8.2,-13,,-17.75,-24.75,-8.45,-62.6,,-91.05
,14742238,943158,CC1=CC(=CC=C1)NCC2=CC3=C(C=CC(=C3)OC)NC2=O,7.9433,96,2.2526,0.8931,-101.53,-5.53,-1.3,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-92.1,-11.6,-9.15,-13,-4.75,,-0.1,-3.95,-8.8,,-19.2,-77.7,-81.9,-92.5,,-91.9
,17431974,970535,C1=CC(=CC(=C1)[N+](=O)[O-])NC(=O)NC2=CC=C(C=C2)OC(F)(F)F,28.1838,37.3,0.8,0.7376,-50.36,-13.06,-2.4,0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-33,-11.35,-14.8,-17.05,-16.2,,-4.5,-14.1,-14.15,,-23.15,-23.8,-26.55,-32.5,,-39.15
,24798198,992588,CCC1=CC=C(C=C1)S(=O)(=O)NC2=CC(=C(C3=CC=CC=C32)O)SCC(=O)O,5.6234,92.66,1.7137,0.9661,-97.52,-4.86,-1.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-97.2,-4.05,-4.3,-3.3,-1.95,,-13.75,-16.85,-32.75,,-41.9,-69.8,-83.3,-96.1,,-97.35
,24272203,1047277,COC1=CC=C(C=C1)NC(=O)C2=C(SC3=C2CCCC3)NC(=O)CC4=CC=CC=C4,,,,,,,4,0 0 0 0 0 0 1 0 0 0,-0.5443,,-4.5857,-9.4692,,-4.1631,-7.6436,-4.8909,,-7.3853,,2.0685,-4.4677,2.0406,-0.5443,
,57288377,1205057,C1=CC(=CC(=C1)Cl)C2=CC=C(O2)/C=C\3/C(=O)N(C(=S)S3)CC(=O)O,1,74.09,0.9,0.9328,-67.265,6.825,-1.2,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-53.9,1.45,1.7,-12.25,-14.45,,-23.4,-37.05,-50.3,,-51.55,-55.45,-64.35,-66.7,,-61.9
,24272197,1268017,CC1=CC=C(C=C1)NC(=O)C2=C(SC3=C2CCCC3)NC(=O)CC4=CC=CC=C4,,,,,,,4,0 0 0 0 0 0 1 0 0 1,-10.5497,,-12.0714,-10.7714,,-13.4832,-14.6919,-14.6099,,-15.4381,,-19.7633,-5.4211,-9.7107,-10.5497,
,4262654,1307421,C1COCCN1C(=O)CSC2=NC3=C(C(=CS3)C4=CC=CO4)C(=O)N2C5=CC=CC=C5,2.8184,19.8551,1.8265,0.8824,-29.8383,-9.9833,-1.4,0 0 0 0 0 0 0 0 0 0,-31.5319,,-14.9879,-11.7559,,-6.2361,-6.9201,-18.1988,,-24.2249,,-25.0561,-29.7389,-27.9221,-31.5319,
,22403818,1321754,CN(C)C1=CC=C(C=C1)N2C(=O)CSC2=S,19.9526,45.9,0.5,0.6902,-45.4,0.5,-2.4,1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0,-32,-4.55,0,-9.9,-3.1,,-7.7,-11.2,-3.25,,-11.55,-19.95,-16.55,-25,,-33.25
,24272541,1350609,CC1=CC(=CC=C1)NC(=O)C2=C(SC3=C2CCCC3)NC(=O)C4=CC=CC=C4,7.9433,95.3338,1.331,0.9866,-98.6857,-3.3518,-1.1,0 0 0 0 0 0 0 0 0 0,-89.4024,,-0.3742,-6.5276,,-3.9188,-10.4025,-18.6965,,-24.4509,,-44.7464,-77.559,-81.8861,-89.4024,
,17410257,1486935,CN1C(=O)N=C(S1)NC(=O)C2=CC=CC=C2,,,,,,,4,0 0 1 0 0 0 0 0 0 0,-0.8763,,-2.8858,-11.2625,,1.7255,-13.9516,-12.5297,,-10.2585,,0.0716,-2.0835,-2.0141,-0.8763,
,24819545,1489523,CC1=CC=C(C=C1)SCC2=CC(=O)N(N2)C,14.1254,50.8,0.2,0.3799,-48.12,2.68,-2.4,0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-26.5,-11.15,-6.55,-6,-5.7,,-22.75,-25.1,-20,,-20.15,-13.8,-20.1,-22.1,,-33.3
,17432888,1557889,C/C(=C\C1=CC=CC=C1)/C=C\2/C(=O)N(C(=S)S2)NC(=O)C3=CC(=CC=C3)O,5.0119,85.29,0.9,0.877,-85.3,-0.01,-1.3,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-80.1,-5,3.85,-5.8,-11,,-14.5,-19.55,-32.9,,-45.95,-56.6,-52.4,-71.2,,-80.6
,16952410,1589731,COC1=CC=C(C=C1)S(=O)(=O)NC2=CC(=C(C3=CC=CC=C32)O)SC4=NC=NN4,2.8184,115.187,1,0.9945,-100.712,14.4748,-1.1,0 0 0 0 0 0 0 0 0 0,-95.9888,,7.8952,11.2318,,-4.0422,-13.9581,-29.0666,,-46.8255,,-73.2747,-80.4983,-88.4639,-95.9888,
,24276604,1598875,COC(=O)C1=CC=CC=C1NC(=O)CSC2=NC3=C(C4=C(S3)CCCC4)C(=O)N2,39.8107,69.48,4.095,0.8271,-72.52,-3.04,-1.3,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-61.2,-4.05,2.25,5.4,1.55,,-2.9,-4,-5.5,,-4.1,-14.7,-3.4,-12.65,,-70.85
,7975827,1824214,COC(=O)CSC1=NC2=C(S1)C=C(C=C2)NC(=O)CSC3=NN=NN3CC4=CC=CC=C4,,,,,,,4,,-3.8,-6.5,2.25,-0.05,-6.3,,8.65,4.95,-2.15,,10.35,1.85,0.05,-1.05,,-10.15
,24833180,2118097,C1CCC(=NCC1)NS(=O)(=O)C2=CC3=C(C=C2)SC(=N3)N,19.9526,90,1.331,0.958,-98.24,-8.24,-1.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-87.6,-8.4,-7.65,-13.2,-13.15,,-5.85,-12,-10.8,,-22,-30.25,-34.05,-65.45,,-87.65
,24409434,2138945,C1CCN(C1)S(=O)(=O)C2=CC3=C(C=C2)N=C(S3)NC(=O)C4=CC=C(C=C4)F,,,,,,,4,,15.7,6.9,5.3,5.15,7.05,,5.4,9.65,11.05,,15.95,-1.8,7.05,14.8,,12.35
,57288380,2247401,COC1=CC=CC(=C1)/C=C/2\C(=O)N(C(=S)S2)CC(=O)NC3=NC=CS3,,,,,,,4,0 0 0 0 0 0 0 0 1 0,-10.2495,,-13.9916,-11.7286,,-10.572,-18.9031,-14.038,,-15.0732,,-17.5236,-8.8314,-24.2811,-10.2495,
,22402279,2248195,CC1=NN=C(S1)NC(=O)CN2C(=O)/C(=C\C3=CC(=CC=C3)OC)/SC2=S,,,,,,,4,,4.725,,7.2534,12.5228,,6.4477,-0.7793,8.904,,-2.4374,,8.7279,8.9379,-1.0805,4.725,
,57288378,2288678,CCOC(=O)C1=NN(C(=O)C2=C(SC=C21)N)C3=CC=CC(=C3)C(F)(F)F,0.8913,64.6216,0.9,0.9695,-71.7973,-7.1757,-1.2,0 0 0 0 0 0 0 0 0 0,-72.2719,,-16.0791,-19.3936,,-36.6339,-33.6029,-49.8736,,-56.3655,,-65.5033,-68.5501,-64.9694,-72.2719,
,14733544,2301472,C1=COC(=C1)C2=NC3=C(C=C(C=C3)NC(=O)NCCCO)N=C2C4=CC=CO4,3.1623,73.96,2.7202,0.9699,-87.4,-13.44,-1.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-76.3,-14.05,-10.7,-13.1,-21.05,,-7.95,-27.2,-43.9,,-75.1,-89.6,-89.35,-91.2,,-77.4
,3716752,2338527,C1COCCN1S(=O)(=O)C2=CC3=C(C=C2)N=C(C(=N3)C4=CC=CO4)C5=CC=CO5,4.4668,88.33,1.8617,0.9862,-97.51,-9.18,-1.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-94.6,-10.15,-9.35,-7.7,-13.15,,-9.05,-21.1,-39.9,,-63.45,-79.1,-85.2,-94.7,,-94.75
,26661534,2384301,CC1=CC=C(C=C1)S(=O)(=O)N(C)C2=NC3=CC=CC=C3NC2=S,15.8489,54.2,0.8,0.746,-58.08,-3.88,-1.4,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-37.2,-3.45,-6.05,-3.1,-7,,-8.5,-16.55,-9.7,,-16.55,-32.4,-24.65,-37.8,,-47.1
,22411474,2488340,CN(C1=CC=C(C=C1)O)C(=S)NC2=CN=CC=C2,10,67.88,1.7885,0.9153,-70.61,-2.73,-1.2,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-73.2,-2.2,-3.15,-4.6,-5.3,,0.65,-4.1,-13.7,,-26.3,-20.6,-44.45,-61.1,,-69.9
,24834511,2557762,CCOC(=O)C1=CC=C(C=C1)S(=O)(=O)NC2=NC3=C(S2)C=CC(=C3)S(=O)(=O)NC4=NCCCCC4,10,73.07,2.2526,0.9326,-82.72,-9.65,-1.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-80.6,-4.9,-12.55,-12.4,-12.55,,-9.75,-8.05,-11.35,,-19.2,-46.15,-57.2,-75.6,,-79.6
,57288391,2789721,COC(=O)C1CCC2=C1C(=C(S2)N)C(=O)OC,,,,,,,4,1 0 0 0 0 0 0 0 0 0,-8.5837,,2.107,18.8144,,-1.6283,9.2389,3.368,,-0.9936,,-4.9881,0.799,-3.5018,-8.5837,
,24272856,2790634,CC1=CC=C(C=C1)OCCCC(=O)NC2=C(C3=C(S2)CCC3C(=O)OC)C(=O)OC,3.5481,90.3995,2.7202,0.9711,-92.5867,-2.1872,-1.1,0 0 0 0 0 0 0 0 0 0,-89.9313,,0.4316,0.7466,,6.9298,-20.2116,-15.5514,,-42.9616,,-89.1787,-89.9419,-89.3287,-89.9313,
,24272882,2790650,CC(C)(C)C1=CC=C(C=C1)OCCCC(=O)NC2=C(C3=C(S2)CCC3C(=O)OC)C(=O)OC,35.4813,47.78,4.5045,0.7589,-46.105,1.675,-1.4,0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-40.2,5.5,6.6,8.2,5.65,,20.4,1,-4.15,,-7.2,-3.6,-0.6,-5.8,,-45.55
,24272907,2790671,CC1=CC(=CC=C1)OCCCC(=O)NC2=C(C3=C(S2)CCC3C(=O)OC)C(=O)OC,1.7783,88.0995,1.7885,0.9868,-92.4161,-4.3166,-1.1,0 0 0 0 0 0 0 0 0 0,-89.4491,,-7.5896,2.0069,,-14.3346,-29.4111,-44.6193,,-73.761,,-91.1592,-91.1217,-89.8413,-89.4491,
,26727964,2795856,CC(C)(C)C1=CC=C(C=C1)NC(=O)N2CCN(CC2)C3=NC=C(C=C3)[N+](=O)[O-],7.9433,56.78,0.5,0.81,-60.46,-3.68,-2.4,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-37.6,-7.95,-9.25,-13.9,-13.2,,-17.15,-17.1,-25.75,,-28.95,-35.15,-38.75,-39.85,,-46.1
,57288395,2814251,CCOC(=O)C1=NN(C(=O)C2=C(SC=C21)NC(=O)C)C3=CC=CC=C3,22.3872,128.076,2.4064,0.9083,-122.421,5.6545,-3,0 0 0 0 0 0 0 0 0 1,-14.4063,,9.3584,6.9598,,-2.7292,5.7881,6.2807,,2.8452,,-7.5965,-7.6597,-93.4505,-14.4063,
,14746106,2877257,CC1=C(SC(=N1)NC(=O)C)C2=CSC(=N2)NC3=CC=C(C=C3)OC.Br,50.1187,104.76,0.9,0.7281,-114.04,-9.28,-2.3,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0,-78.6,-10.2,-9.4,-11.75,-15.85,,-11.85,-19.25,-6.65,,-27.25,-35.5,-39.9,-0.8,,-82.95
,850961,2877277,CC1=C(SC(=N1)NC(=O)C)C2=CSC(=N2)NC3=CC=C(C=C3)O.Br,15.8489,94.44,1.1,0.9521,-102.12,-7.68,-1.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-88.4,-9.15,-16.65,-2.3,-9.1,,-8.75,-11.55,-19.25,,-30.65,-43.05,-49.05,-64.25,,-92.7
,17388235,2902308,CC1=C(SC(=N1)NC(=O)C)C2=CSC(=N2)NC3=CC(=CC=C3)[N+](=O)[O-],3.5481,64.645,1.6259,0.9292,-57.145,7.5,-1.2,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-61.2,5.2,1.9,9.05,5.35,,13.5,-11.6,-22.4,,-36.65,-47,-46.75,-48.65,,-62.35
,24415951,2916654,COC1=CC(=C(C=C1)OC)NC(=O)C2=C(SC3=C2CCCC3)NCC4=CC=CS4,,,,,,,4,1 0 0 0 0 0 0 0 0 0,-23.903,,-6.4763,8.4339,,3.6728,0.1483,-12.2353,,-11.61,,-21.0117,-14.8839,-15.6131,-23.903,
,26658061,2939678,C1=CC=C2C(=C1)C(=CC(=C2O)SCC(=O)O)NS(=O)(=O)C3=CC=CC(=C3)[N+](=O)[O-],1.9953,107.379,1.5579,0.9826,-101.834,5.545,-1.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-97.8,2.3,10.25,2.2,0.15,,-22.95,-34.8,-61.15,,-90.45,-96.15,-96.4,-97.05,,-97.8
,14729805,2971796,CC1=CC=C(C=C1)NC(=O)N2CCN(CC2)C3=CC=CC=N3,,,,,,,4,,-5.2,-3.15,-11.8,-10.5,-5.9,,-1.25,-5.1,-6.1,,-13.85,-12.7,-6.75,-2.35,,-13.35
,17413594,2976659,C1COCCN1C2=C(C=C(C=C2)C(=O)NC3=CC=C(C=C3)C4=NC5=CC=CC=C5O4)[N+](=O)[O-],1.122,55.4392,1.9282,0.9834,-75.7114,-20.2722,-1.2,0 0 0 0 0 0 0 0 0 0,-79.9769,,-18.9333,-27.9835,,-24.1033,-43.6483,-59.1978,,-70.2992,,-75.5526,-73.5165,-72.8835,-79.9769,
,17431920,2980171,COC1=CC2=C(C=C1)OC(=N2)C3=CC=C(C=C3)NC(=O)C4=CC(=C(C=C4)N5CCOCC5)[N+](=O)[O-],,,,,,,4,,-26.6,-19.15,-13.35,-20.95,-24.65,,-14.7,-26.1,-33.45,,-22.7,-28.5,-22.8,-20.35,,-36.65
,3716574,2999671,CCN1C2=C(C=C(C=C2)C(=O)O)N=C1CSC3=NC=CN3C,39.8107,83.4,2.0437,0.9132,-83.83,-0.43,-1.2,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-71.8,-1.4,-0.1,2,3.7,,7.95,-6.7,-0.7,,-7.1,-11.1,-9.15,-18.55,,-74.55
,24826318,3032310,C1C2=CC=CC=C2NC1=S,0.631,26.8003,3.5117,0.9304,-96.1008,-69.3005,-1.1,0 0 0 0 0 0 0 0 0 0,-95.6917,,-70.4102,-73.1716,,-68.1671,-95.1064,-95.3031,,-95.4245,,-95.9173,-95.8795,-95.2864,-95.6917,
,24272199,3119666,C1CCC2=C(C1)C(=C(S2)NC(=O)CC3=CC=CC=C3)C(=O)NC4=CC=C(C=C4)Cl,1,75.9861,2.7202,0.9694,-91.8226,-15.8365,-1.1,0 0 0 0 0 0 0 0 0 0,-90.922,,-10.6565,-17.4589,,-33.707,-36.9039,-87.1283,,-88.5615,,-90.6875,-91.0196,-91.1427,-90.922,
,57288370,3119666,C1CCC2=C(C1)C(=C(S2)NC(=O)CC3=CC=CC=C3)C(=O)NC4=CC=C(C=C4)Cl,,,,,,,4,0 0 0 0 0 0 0 1 0 0,-2.1486,,3.8919,7.0602,,5.2945,1.5371,2.3413,,5.8095,,-5.536,6.8005,-5.6152,-2.1486,
,24272201,3119667,C1CCC2=C(C1)C(=C(S2)NC(=O)CC3=CC=CC=C3)C(=O)NC4=CC=C(C=C4)Br,,,,,,,4,0 0 0 1 0 0 0 0 0 0,2.1923,,-7.7638,-3.8073,,-4.5547,-0.0362,-14.7822,,-5.526,,-7.172,-3.0302,4.5058,2.1923,
