Molecule,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
1350609,Cc1cccc(c1)NC(=O)c1c(sc2c1CCCC2)NC(=O)c1ccccc1,C23H22N2O2S,390.50,28,17,0.22,6,2,2,115.15,86.44,3.10,5.75,5.06,3.93,5.84,4.74,-5.94,4.52e-04,1.16e-06,Moderately soluble,-7.33,1.81e-05,4.64e-08,Poorly soluble,-8.13,2.91e-06,7.46e-09,Poorly soluble,High,No,No,Yes,Yes,Yes,Yes,Yes,-4.60,0,0,0,0,1,0.55,0,0,2,3.55
2790634,COC(=O)c1c(NC(=O)CCCOc2ccc(cc2)C)sc2c1C(CC2)C(=O)OC,C22H25NO6S,431.50,30,11,0.41,11,6,1,114.03,119.17,3.98,4.09,3.65,2.37,5.18,3.86,-4.64,9.95e-03,2.30e-05,Moderately soluble,-6.30,2.17e-04,5.04e-07,Poorly soluble,-6.17,2.90e-04,6.73e-07,Poorly soluble,High,No,No,Yes,Yes,Yes,Yes,Yes,-6.03,0,0,1,0,0,0.55,0,1,3,4.39
25181366,CN(c1ccc(cc1)c1cc[nH]c(=O)c1N)C,C13H15N3O,229.28,17,12,0.15,2,1,2,71.11,62.12,2.00,1.04,1.70,1.29,1.97,1.60,-2.31,1.13e+00,4.93e-03,Soluble,-1.93,2.66e+00,1.16e-02,Very soluble,-4.21,1.42e-02,6.18e-05,Moderately soluble,High,Yes,No,Yes,No,No,No,No,-6.96,0,0,0,0,0,0.55,0,0,1,2.06
3119666,Clc1ccc(cc1)NC(=O)c1c(NC(=O)Cc2ccccc2)sc2c1CCCC2,C23H21ClN2O2S,424.94,29,17,0.22,7,2,2,119.77,86.44,3.12,5.95,5.33,4.14,6.35,4.98,-6.19,2.71e-04,6.38e-07,Poorly soluble,-7.54,1.22e-05,2.88e-08,Poorly soluble,-8.73,7.89e-07,1.86e-09,Poorly soluble,High,No,Yes,Yes,Yes,Yes,Yes,Yes,-4.67,0,0,0,0,1,0.55,0,0,2,3.56
2118097,Nc1nc2c(s1)ccc(c2)S(=O)(=O)NC1=NCCCCC1,C13H16N4O2S2,324.42,21,9,0.38,3,4,2,88.85,134.06,1.63,1.47,2.84,1.33,2.39,1.93,-2.90,4.12e-01,1.27e-03,Soluble,-3.89,4.16e-02,1.28e-04,Soluble,-4.26,1.76e-02,5.43e-05,Moderately soluble,High,No,Yes,Yes,No,No,No,No,-7.24,0,0,0,1,0,0.55,0,0,0,3.11
3698,O=c1[nH]cc(cc1N)c1ccncc1,C10H9N3O,187.20,14,12,0.00,1,2,2,54.70,71.77,1.14,-0.16,1.03,0.18,1.88,0.81,-1.47,6.37e+00,3.40e-02,Very soluble,-0.89,2.40e+01,1.28e-01,Very soluble,-3.72,3.58e-02,1.91e-04,Soluble,High,No,No,Yes,No,No,No,No,-7.56,0,0,0,0,1,0.55,0,0,1,2.04
135470621,OC(=O)CC1S/C(=N/N=C/c2ccc(o2)c2ccccc2[N+](=O)[O-])/NC1=O,C16H12N4O6S,388.35,27,11,0.12,6,8,2,103.50,175.38,1.55,2.40,1.87,0.07,0.90,1.36,-3.67,8.39e-02,2.16e-04,Soluble,-5.72,7.32e-04,1.89e-06,Moderately soluble,-4.00,3.92e-02,1.01e-04,Soluble,Low,No,No,No,No,Yes,No,No,-6.96,0,0,1,1,1,0.55,0,3,1,4.19
2557762,CCOC(=O)c1ccc(cc1)S(=O)(=O)Nc1sc2c(n1)cc(cc2)S(=O)(=O)NC1=NCCCCC1,C22H24N4O6S3,536.64,35,15,0.32,9,8,2,137.65,188.89,2.12,2.89,5.11,2.07,3.07,3.05,-4.71,1.04e-02,1.95e-05,Moderately soluble,-6.52,1.63e-04,3.04e-07,Poorly soluble,-7.40,2.13e-05,3.97e-08,Poorly soluble,Low,No,No,No,No,Yes,No,Yes,-7.52,1,2,1,1,1,0.55,0,0,2,4.03
5310645,Cc1nnc2c(c1)c(N)ccc2,C9H9N3,159.19,12,10,0.11,0,2,1,48.91,51.80,1.49,0.90,1.53,1.12,1.68,1.34,-2.01,1.55e+00,9.76e-03,Soluble,-1.57,4.26e+00,2.67e-02,Very soluble,-3.34,7.21e-02,4.53e-04,Soluble,High,Yes,No,Yes,No,No,No,No,-6.63,0,1,0,0,1,0.55,0,1,1,1.50
16017377,O=C(C1CCCCC1)Nc1nnc(s1)S(=O)(=O)N(c1ccccc1)C,C16H20N4O3S2,380.49,25,11,0.44,6,5,1,98.16,128.88,2.91,3.00,3.77,1.40,1.79,2.57,-4.02,3.65e-02,9.58e-05,Moderately soluble,-5.37,1.62e-03,4.26e-06,Moderately soluble,-4.46,1.31e-02,3.44e-05,Moderately soluble,High,No,No,No,Yes,Yes,No,Yes,-6.49,0,0,0,0,0,0.55,0,1,1,3.56
939236,COc1ccc2c(c1)cc(c(=O)[nH]2)CNc1ccccc1OC,C18H18N2O3,310.35,23,16,0.17,5,3,2,91.35,63.35,2.94,2.76,2.81,2.06,3.76,2.87,-3.69,6.37e-02,2.05e-04,Soluble,-3.75,5.58e-02,1.80e-04,Soluble,-6.82,4.69e-05,1.51e-07,Poorly soluble,High,Yes,No,Yes,No,Yes,Yes,Yes,-6.23,0,0,0,0,0,0.55,0,0,0,2.36
4876538,O=C(NC(C(C)C)C)CSc1nc2scc(c2c(=O)n1c1ccccc1)c1ccco1,C23H23N3O3S2,453.58,31,20,0.26,8,4,1,126.48,130.67,3.53,5.23,4.96,2.96,5.42,4.42,-5.90,5.76e-04,1.27e-06,Moderately soluble,-7.72,8.59e-06,1.89e-08,Poorly soluble,-7.57,1.21e-05,2.67e-08,Poorly soluble,Low,No,No,No,Yes,Yes,No,Yes,-5.35,0,0,0,0,1,0.55,0,0,3,4.29
903329,Clc1cccc(c1)NC(=O)c1c(Cl)cnn1C,C11H9Cl2N3O,270.11,17,11,0.09,3,2,1,67.72,46.92,2.13,2.66,2.79,2.28,2.30,2.43,-3.47,9.12e-02,3.38e-04,Soluble,-3.30,1.36e-01,5.05e-04,Soluble,-4.55,7.67e-03,2.84e-05,Moderately soluble,High,Yes,No,Yes,Yes,No,No,No,-6.06,0,0,0,0,0,0.55,0,0,0,1.88
943158,COc1ccc2c(c1)cc(c(=O)[nH]2)CNc1cccc(c1)C,C18H18N2O2,294.35,22,16,0.17,4,2,2,89.82,54.12,2.74,3.16,3.11,2.62,4.23,3.17,-3.93,3.46e-02,1.18e-04,Soluble,-3.97,3.18e-02,1.08e-04,Soluble,-7.09,2.40e-05,8.17e-08,Poorly soluble,High,Yes,No,Yes,Yes,No,Yes,Yes,-5.85,0,0,0,0,0,0.55,0,0,0,2.24
2488340,Oc1ccc(cc1)N(C(=S)Nc1cccnc1)C,C13H13N3OS,259.33,18,12,0.08,4,2,2,77.08,80.48,1.97,1.84,2.43,1.16,2.14,1.91,-2.84,3.78e-01,1.46e-03,Soluble,-3.15,1.83e-01,7.07e-04,Soluble,-3.90,3.28e-02,1.26e-04,Soluble,High,No,No,Yes,No,No,No,No,-6.58,0,0,0,0,0,0.55,0,1,0,2.40
3711253,O=C(c1ccc(cc1)C)Nc1nc(=O)n(s1)C(=O)C1CC1,C14H13N3O3S,303.34,21,11,0.29,5,4,1,79.54,109.30,1.27,1.96,1.66,1.83,2.62,1.87,-3.01,2.94e-01,9.70e-04,Soluble,-3.88,4.00e-02,1.32e-04,Soluble,-3.44,1.09e-01,3.60e-04,Soluble,High,No,No,No,No,No,No,No,-6.76,0,0,0,0,0,0.55,0,0,0,3.06
2999671,CCn1c(CSc2nccn2C)nc2c1ccc(c2)C(=O)O,C15H16N4O2S,316.38,22,14,0.27,5,4,1,86.02,98.24,2.07,1.73,2.63,1.40,1.64,1.89,-3.03,2.94e-01,9.28e-04,Soluble,-3.41,1.23e-01,3.90e-04,Soluble,-3.67,6.84e-02,2.16e-04,Soluble,High,No,Yes,No,No,No,No,No,-7.00,0,0,0,0,0,0.56,0,0,0,2.61
135491645,Fc1ccc(cc1C1=NNC(=Nc2ccc(cc2)S(=O)(=O)N2CCOCC2)SC1)F,C19H18F2N4O3S2,452.50,30,12,0.26,4,8,1,122.17,117.04,3.18,2.84,3.49,2.50,3.66,3.13,-4.47,1.55e-02,3.41e-05,Moderately soluble,-4.96,5.01e-03,1.11e-05,Moderately soluble,-6.52,1.38e-04,3.05e-07,Poorly soluble,High,No,No,Yes,Yes,Yes,No,Yes,-7.04,0,0,0,0,0,0.55,1,1,1,3.94
16023227,O=C(Cn1c(=O)c(CNc2ccccc2)cc2c1cc1OCCOc1c2)Nc1ccccc1Cl,C26H22ClN3O4,475.92,34,22,0.15,7,4,2,132.98,81.59,3.59,4.25,4.14,3.05,4.45,3.90,-5.49,1.56e-03,3.27e-06,Moderately soluble,-5.67,1.01e-03,2.11e-06,Moderately soluble,-9.17,3.19e-07,6.70e-10,Poorly soluble,High,No,Yes,Yes,Yes,Yes,Yes,Yes,-6.19,0,1,0,0,0,0.55,0,0,2,3.44
1598875,COC(=O)c1ccccc1NC(=O)CSc1nc2sc3c(c2c(=O)[nH]1)CCCC3,C20H19N3O4S2,429.51,29,15,0.30,7,5,2,114.51,154.69,3.34,4.19,3.19,2.42,5.12,3.65,-5.06,3.71e-03,8.64e-06,Moderately soluble,-7.15,3.06e-05,7.12e-08,Poorly soluble,-6.62,1.04e-04,2.41e-07,Poorly soluble,Low,No,No,Yes,Yes,Yes,No,Yes,-5.95,0,0,1,1,1,0.55,0,0,2,3.50
25181372,CCN(C(=O)c1nn(c2ccc(cc2)OC)c(=O)c2c1csc2N)CC,C18H20N4O3S,372.44,26,15,0.28,6,4,1,103.62,118.69,3.19,2.91,2.53,1.90,2.80,2.66,-4.01,3.61e-02,9.70e-05,Moderately soluble,-5.06,3.22e-03,8.64e-06,Moderately soluble,-4.78,6.20e-03,1.66e-05,Moderately soluble,High,No,No,No,Yes,Yes,No,Yes,-6.51,0,0,0,0,0,0.55,0,0,1,3.11
6409922,O=C(Nc1cccc2c1cc(C)nn2)Nc1ccccc1,C16H14N4O,278.31,21,16,0.06,4,3,2,83.23,66.91,2.39,2.15,3.20,2.53,2.25,2.50,-3.22,1.68e-01,6.03e-04,Soluble,-3.19,1.81e-01,6.50e-04,Soluble,-6.28,1.45e-04,5.22e-07,Poorly soluble,High,Yes,Yes,Yes,No,No,No,No,-6.47,0,0,0,0,0,0.55,0,0,0,2.18
2384301,Cc1ccc(cc1)S(=O)(=O)N(c1nc2ccccc2[nH]c1=S)C,C16H15N3O2S2,345.44,23,16,0.12,3,3,1,93.91,106.53,2.45,2.80,4.51,1.84,3.46,3.01,-4.06,2.99e-02,8.66e-05,Moderately soluble,-4.69,6.99e-03,2.02e-05,Moderately soluble,-5.96,3.83e-04,1.11e-06,Moderately soluble,High,No,No,No,Yes,Yes,No,Yes,-6.42,0,0,0,0,0,0.55,0,1,0,3.22
798725,CCOC(=O)c1nn(c2ccc(c(c2)C)C)c(=O)c2c1csc2N,C17H17N3O3S,343.40,24,15,0.24,4,4,1,95.64,115.45,3.22,3.70,2.83,2.60,3.76,3.22,-4.50,1.09e-02,3.17e-05,Moderately soluble,-5.82,5.26e-04,1.53e-06,Moderately soluble,-5.06,3.00e-03,8.75e-06,Moderately soluble,High,No,No,Yes,Yes,Yes,No,No,-5.77,0,0,0,0,0,0.55,0,0,1,3.09
135401250,CN(S(=O)(=O)c1cccc(c1)N=C1NN=C(CS1)c1ccccc1)C,C17H18N4O2S2,374.48,25,12,0.18,4,5,1,109.75,107.81,2.62,3.02,2.98,2.06,2.59,2.66,-4.16,2.62e-02,6.99e-05,Moderately soluble,-4.95,4.21e-03,1.12e-05,Moderately soluble,-5.95,4.18e-04,1.12e-06,Moderately soluble,High,No,No,No,Yes,Yes,No,Yes,-6.44,0,0,0,0,0,0.55,1,1,1,3.81
135512424,OC(=O)CC1S/C(=N\N=C\c2ccc(o2)c2ccc(cc2[N+](=O)[O-])C)/NC1=O,C17H14N4O6S,402.38,28,11,0.18,6,8,2,108.47,175.38,2.62,3.02,2.18,2.06,2.59,2.66,-4.16,2.62e-02,6.99e-05,Moderately soluble,-4.95,4.21e-03,1.12e-05,Moderately soluble,-5.95,4.18e-04,1.12e-06,Moderately soluble,High,No,No,No,Yes,Yes,No,Yes,-6.44,0,0,0,0,0,0.55,1,1,1,3.81
25181382,CCOC(=O)c1ccc(cc1)n1nc(C(=O)OCC)c2c(c1=O)c(N)sc2,C18H17N3O5S,387.41,27,15,0.22,7,6,1,101.79,141.75,3.30,3.19,2.39,1.99,3.12,2.80,-4.20,2.44e-02,6.30e-05,Moderately soluble,-5.84,5.62e-04,1.45e-06,Moderately soluble,-4.73,7.16e-03,1.85e-05,Moderately soluble,Low,No,No,Yes,Yes,Yes,No,Yes,-6.40,0,0,1,1,0,0.55,0,1,1,3.21
135482423,Cc1ccc(cc1)C1=NNC(=Nc2ccc(cc2)F)SC1,C16H14FN3S,299.37,21,12,0.12,2,3,1,93.88,62.05,2.79,4.33,3.52,3.77,5.06,3.89,-4.71,5.77e-03,1.93e-05,Moderately soluble,-5.35,1.34e-03,4.49e-06,Moderately soluble,-6.63,7.03e-05,2.35e-07,Poorly soluble,High,Yes,No,Yes,Yes,Yes,No,No,-5.05,0,0,0,0,0,0.55,1,1,1,3.49
2790650,COC(=O)c1c(NC(=O)CCCOc2ccc(cc2)C(C)(C)C)sc2c1C(CC2)C(=O)OC,C25H31NO6S,473.58,33,11,0.48,12,6,1,128.33,119.17,4.67,5.40,4.64,3.01,6.09,4.76,-5.63,1.10e-03,2.33e-06,Moderately soluble,-7.66,1.04e-05,2.20e-08,Poorly soluble,-6.95,5.29e-05,1.12e-07,Poorly soluble,High,No,No,No,Yes,Yes,Yes,Yes,-5.35,0,0,1,0,1,0.55,0,1,3,4.73
25181375,CCOC(=O)c1nn(c2ccccc2)c(=O)c2c1c(C)sc2N,C16H15N3O3S,329.37,23,15,0.19,4,4,1,90.67,115.45,2.98,3.37,2.52,2.35,3.25,2.90,-4.22,1.97e-02,5.97e-05,Moderately soluble,-5.47,1.11e-03,3.37e-06,Moderately soluble,-4.68,6.88e-03,2.09e-05,Moderately soluble,High,No,No,Yes,Yes,Yes,No,No,-5.92,0,0,0,0,0,0.55,0,0,0,3.07
