PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,Potency,Efficacy,Fit_HillSlope,Fit_R2,Fit_InfiniteActivity,Fit_ZeroActivity,Fit_CurveClass,Excluded_Points,Max_Response,Activity at 0.049 uM,Activity at 0.111 uM,Activity at 0.223 uM,Activity at 0.389 uM,Activity at 0.446 uM,Activity at 0.890 uM,Activity at 1.786 uM,Activity at 3.090 uM,Activity at 3.571 uM,Activity at 6.310 uM,Activity at 7.147 uM,Activity at 14.27 uM,Activity at 28.53 uM,Activity at 57.14 uM,Activity at 100.00 uM
,57288371,439260,C1=CC(=C(C=C1[C@H](CN)O)O)O,7.0795,32.34,1.4641,0.9838,-34.76,-2.42,-1.2,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-31.5,-1.8,-2.9,-3.3,-2.9,,-3.9,-5.2,-7.65,,-17.15,-20.9,-27.35,-30.15,,-31.9
,57288362,647821,CCOC(=O)C1=NN(C(=O)C2=C(SC=C21)N)C3=CC=CC=C3,3.1623,34.9438,4.5045,0.9943,-40.5803,-5.6364,-1.2,0 0 0 0 0 0 0 0 0 0,-40.1284,,-8.0257,-5.8855,,-4.2804,-4.8154,-6.9556,,-26.7523,,-38.5233,-41.7335,-41.7335,-40.1284,
,845471,647821,CCOC(=O)C1=NN(C(=O)C2=C(SC=C21)N)C3=CC=CC=C3,10,47.6,0.9,0.9758,-50.85,-3.25,-1.2,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0,-45,-1.05,-5.1,-6.1,-7.1,,-7.85,-8.85,-14.45,,-22.8,-27.3,-28.3,-10.95,,-45.25
,57288361,648952,CCOC(=O)C1=NN(C(=O)C(=C1C)C#N)C2=CC=CC=C2,,,,,,,4,,-3.7879,,1.6234,0.5411,,0,-0.5411,1.0823,,-1.0823,,-1.6234,-0.5411,0,-3.7879,
,57288389,686852,CCOC(=O)C1=NN(C(=O)C2=C(SC=C21)N)C3=CC=C(C=C3)F,3.5481,39.2565,2.1876,0.9954,-36.2565,3,-1.2,0 0 0 0 0 0 0 0 0 0,-35.9979,,0.5294,2.6469,,4.235,2.6469,-4.7644,,-15.8814,,-29.6453,-33.8804,-36.5273,-35.9979,
,57288364,719449,CCOC(=O)C1=NN(C(=O)C2=C(SC=C21)N)C3=CC=C(C=C3)OC,2.8184,39.7186,2.5334,0.9971,-39.3853,0.3333,-1.2,0 0 0 0 0 0 0 0 0 0,-40.0433,,0,1.6234,,-1.6234,-2.1645,-7.5758,,-25.974,,-35.1732,-38.961,-38.961,-40.0433,
,57288365,719449,CCOC(=O)C1=NN(C(=O)C2=C(SC=C21)N)C3=CC=C(C=C3)OC,3.1623,39.1201,3.1925,0.988,-37.8406,1.2796,-1.2,0 0 0 0 0 0 0 0 0 0,-42.2686,,1.6051,2.1402,,1.0701,0,-2.6752,,-24.077,,-32.6378,-35.848,-36.3831,-42.2686,
,4259887,719449,CCOC(=O)C1=NN(C(=O)C2=C(SC=C21)N)C3=CC=C(C=C3)OC,39.8107,47.78,0.9,0.9684,-56.2,-8.42,-2.2,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-43.5,-9.65,-10.45,-9.4,-7.6,,-8.9,-9.4,-13.95,,-16.7,-20,-18.95,-25.8,,-42.5
,22412167,736077,CC1=C2C(=C(S1)N)C(=O)N(N=C2C(=O)OC)C3=CC=C(C=C3)OC,35.4813,15.34,4.5045,0.904,-23.06,-7.72,-2.4,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-22.3,-7.85,-9.9,-8.9,-8.6,,-7.1,-6.85,-6.85,,-6.85,-8.15,-7.1,-10.45,,-23.05
,57288379,753455,CCOC(=O)C1=NN(C(=O)C2=C(SC=C21)N)C3=CC=C(C=C3)Cl,3.5481,34.5177,2.9523,0.9793,-32.0177,2.5,-1.2,0 0 0 0 0 0 0 0 0 0,-35.848,,0.535,2.1402,,3.7453,0,1.6051,,-16.5864,,-25.6822,-28.8925,-32.6378,-35.848,
,4261587,753627,COC1=CC=CC(=C1O)CNC2=CC=CC3=C2N=CC=C3,63.0957,25.66,0.9,0.8908,-27.16,-1.5,-2.4,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0,-19.3,-2.1,-0.25,-1.6,-1.55,,-2.1,-2.35,-4.25,,-3.95,-4.2,-6.85,-12.15,,-17.45
,57288404,798725,CCOC(=O)C1=NN(C(=O)C2=C(SC=C21)N)C3=CC(=C(C=C3)C)C,,,,,,,4,0 0 0 0 0 0 0 0 0 0,-29.4275,,0.535,-4.2804,,-3.7453,-1.6051,-3.2103,,-18.1915,,-24.077,-26.7523,-25.1471,-29.4275,
,4255295,829764,CCN(CC)C1=CC2=C(C=C1)OC(=O)C(=N2)C,14.1254,58.2,1.4787,0.973,-63.46,-5.26,-1.2,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-59.5,-6.35,-1.8,-7.1,-6.85,,-5.9,-7.15,-7.85,,-16.95,-26.8,-30.05,-46.25,,-60.05
,14718768,841172,CCN1C(=CC=N1)C(=O)NC2=CC(=CC(=C2)Cl)Cl,35.4813,12.92,3.132,0.9287,-17.88,-4.96,-2.4,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-17.4,-4.9,-5.1,-4.75,-5.3,,-4.75,-5.3,-5.15,,-4.75,-4.4,-5.1,-8.4,,-17.4
,24803205,890662,C1=CC=C(C(=C1)CNC2=CC=CC3=C2N=CC=C3)O,50.1187,33.02,1.4163,0.9759,-36.8,-3.78,-2.4,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-27.2,-3.3,-4.95,-3.5,-3.5,,-3.45,-2.8,-3.45,,-4.95,-8,-7.5,-12.9,,-28.1
,4257143,892123,CN1C=C(C(=N1)C(=O)NC2=C(C(=CC=C2)Cl)Cl)Cl,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0,-4.6,-7.35,-8.15,-8.15,-9.4,,-8.35,-8.35,-6.1,,-7.35,-5.1,-3.35,-5.1,,-4.85
,14728035,903329,CN1C(=C(C=N1)Cl)C(=O)NC2=CC(=CC=C2)Cl,35.4813,27.2,2.3332,0.9685,-33.02,-5.82,-1.4,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-29.6,-7.35,-6.35,-6.1,-5.85,,-5.6,-5.1,-5.1,,-5.1,-7.6,-8.1,-14.35,,-30.85
,26658460,939236,COC1=CC2=C(C=C1)NC(=O)C(=C2)CNC3=CC=CC=C3OC,25.1189,36.82,1.8265,0.8712,-39.32,-2.5,-1.4,1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-36.1,3.45,-3.3,-6,-3,,-1.95,-1.7,-2.2,,-3.05,-11.75,-2.5,-25,,-35.8
,14742238,943158,CC1=CC(=CC=C1)NCC2=CC3=C(C=CC(=C3)OC)NC2=O,7.0795,38.28,1.8851,0.9432,-43.08,-4.8,-1.2,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-40.9,-6.85,-4.25,-6.1,-5.25,,-5.85,-6.6,-7.4,,-15.55,-32.15,-33.25,-37.7,,-40.9
,17431974,970535,C1=CC(=CC(=C1)[N+](=O)[O-])NC(=O)NC2=CC=C(C=C2)OC(F)(F)F,39.8107,47.6,0.8,0.8015,-49.96,-2.36,-2.4,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1,-12.3,-1.4,-3.6,-2.5,-3.35,,-4.15,-4.9,-5.5,,-14.4,-28.5,-12,-19,,-25.3
,24798198,992588,CCC1=CC=C(C=C1)S(=O)(=O)NC2=CC(=C(C3=CC=CC=C32)O)SCC(=O)O,8.9125,43.6,1.6266,0.9819,-48.12,-4.52,-1.2,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-47.6,-2.35,-5.6,-5.6,-5.85,,-4.85,-8.6,-9.35,,-16.1,-26.1,-32.85,-41.1,,-46.85
,24272203,1047277,COC1=CC=C(C=C1)NC(=O)C2=C(SC3=C2CCCC3)NC(=O)CC4=CC=CC=C4,,,,,,,4,0 0 0 0 0 0 1 0 0 0,-3.9746,,-6.3593,-4.7695,,-4.7695,-3.1797,-3.1797,,-2.3847,,1.5898,-3.1797,-0.7949,-3.9746,
,57288377,1205057,C1=CC(=CC(=C1)Cl)C2=CC=C(O2)/C=C\3/C(=O)N(C(=S)S3)CC(=O)O,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0,-7.3,0.3,-0.1,-0.25,-1.05,,-1.6,-3.1,-4.25,,-4.25,-3.85,-6,-5.2,,-8.8
,24272197,1268017,CC1=CC=C(C=C1)NC(=O)C2=C(SC3=C2CCCC3)NC(=O)CC4=CC=CC=C4,,,,,,,4,0 0 0 0 0 0 0 0 0 0,-10.4923,,0.8071,-1.6142,,0,0.8071,-0.8071,,-0.8071,,-3.2284,-4.0355,-5.6497,-10.4923,
,4262654,1307421,C1COCCN1C(=O)CSC2=NC3=C(C(=CS3)C4=CC=CO4)C(=O)N2C5=CC=CC=C5,,,,,,,4,0 0 0 0 0 1 0 0 0 1,-7.9491,,-3.1797,-2.3847,,-3.1797,-3.1797,-3.9746,,-7.1542,,-1.5898,1.5898,2.3847,-7.9491,
,22403818,1321754,CN(C)C1=CC=C(C=C1)N2C(=O)CSC2=S,12.5893,11.66,1,0.7036,-16.32,-4.66,-2.4,1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-14.5,-7.4,-6.85,-6.05,-3.65,,-6.05,-4.5,-5.85,,-5.55,-11.3,-10.55,-15.3,,-13.7
,24272541,1350609,CC1=CC(=CC=C1)NC(=O)C2=C(SC3=C2CCCC3)NC(=O)C4=CC=CC=C4,10,30.5636,3.99,0.9912,-38.2409,-7.6773,-1.2,0 0 0 0 0 0 0 0 0 0,-38.9507,,-10.3339,-7.9491,,-7.1542,-5.5644,-7.1542,,-7.9491,,-13.5135,-32.5914,-36.566,-38.9507,
,17410257,1486935,CN1C(=O)N=C(S1)NC(=O)C2=CC=CC=C2,,,,,,,4,0 0 0 0 1 0 0 0 0 1,-3.962,,-4.7544,1.5848,,-2.3772,-0.7924,-9.5087,,0,,0.7924,1.5848,-2.3772,-3.962,
,24819545,1489523,CC1=CC=C(C=C1)SCC2=CC(=O)N(N2)C,,,,,,,4,0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1,-2.5,-1.95,-4.15,-5.2,-2.8,,-8.2,-9,-7.1,,-8.75,-3.85,-7.65,-6.8,,-3.6
,17432888,1557889,C/C(=C\C1=CC=CC=C1)/C=C\2/C(=O)N(C(=S)S2)NC(=O)C3=CC(=CC=C3)O,17.7828,36.32,1.1,0.9251,-39.32,-3,-1.2,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-36.1,-3.6,-2.85,-3.85,-2.6,,-2.85,-6.6,-7.35,,-11.85,-16.35,-13.6,-25.6,,-35.1
,16952410,1589731,COC1=CC=C(C=C1)S(=O)(=O)NC2=CC(=C(C3=CC=CC=C32)O)SC4=NC=NN4,7.0795,57.4855,1.8265,0.9806,-56.8931,0.5924,-1.2,0 0 0 0 0 0 0 0 0 0,-49.2333,,0.8071,2.4213,,1.6142,-1.6142,-8.071,,-9.6852,,-27.4415,-48.4262,-51.6546,-49.2333,
,24276604,1598875,COC(=O)C1=CC=CC=C1NC(=O)CSC2=NC3=C(C4=C(S3)CCCC4)C(=O)N2,56.2341,25.18,1.6266,0.9091,-27.18,-2,-2.4,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-19.6,-3.3,-2.2,0.5,-1.5,,-0.8,-1.85,-2.2,,-2.75,-6.4,-4.75,-5.3,,-20.5
,7975827,1824214,COC(=O)CSC1=NC2=C(S1)C=C(C=C2)NC(=O)CSC3=NN=NN3CC4=CC=CC=C4,,,,,,,4,0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0,-9.6,-5.1,-6.1,-5.35,-5.35,,-7.1,-6.6,-8.85,,-5.6,-6.6,-7.85,-9.1,,-9.6
,24833180,2118097,C1CCC(=NCC1)NS(=O)(=O)C2=CC3=C(C=C2)SC(=N3)N,15.8489,33.9,1.5579,0.9688,-38.32,-4.42,-1.2,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-38.6,-5.6,-4.6,-4.1,-5.1,,-4.1,-2.6,-7.6,,-10.6,-15.1,-17.35,-27.1,,-37.35
,24409434,2138945,C1CCN(C1)S(=O)(=O)C2=CC3=C(C=C2)N=C(S3)NC(=O)C4=CC=C(C=C4)F,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0,-3.3,-1.45,-1.5,-1.3,-0.55,,-1.45,-1.8,-3.25,,-6.75,9.3,-4.15,-6.2,,-4.75
,57288380,2247401,COC1=CC=CC(=C1)/C=C/2\C(=O)N(C(=S)S2)CC(=O)NC3=NC=CS3,17.7828,35.2724,0.9,0.8309,-35.7724,-0.5,-2.4,0 0 0 0 0 0 0 0 0 0,-31.477,,0.8071,-3.2284,,2.4213,-3.2284,-8.8781,,-11.2994,,-4.8426,-18.5634,-16.1421,-31.477,
,22402279,2248195,CC1=NN=C(S1)NC(=O)CN2C(=O)/C(=C\C3=CC(=CC=C3)OC)/SC2=S,,,,,,,4,0 0 0 0 0 0 0 0 0 0,-24.6423,,3.1797,0.7949,,1.5898,-0.7949,-0.7949,,-0.7949,,-5.5644,-7.9491,-11.1288,-24.6423,
,57288378,2288678,CCOC(=O)C1=NN(C(=O)C2=C(SC=C21)N)C3=CC=CC(=C3)C(F)(F)F,,,,,,,4,0 0 0 0 0 0 0 0 0 0,-12.6783,,4.7544,3.1696,,0.7924,-0.7924,-1.5848,,-3.962,,-7.1315,-8.7163,-7.9239,-12.6783,
,14733544,2301472,C1=COC(=C1)C2=NC3=C(C=C(C=C3)NC(=O)NCCCO)N=C2C4=CC=CO4,7.9433,70.48,1.6266,0.978,-75.28,-4.8,-1.2,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-74.4,-4.35,-5.35,-6.6,-6.6,,-6.6,-7.35,-14.45,,-31.85,-47.9,-51.05,-61.5,,-73.4
,3716752,2338527,C1COCCN1S(=O)(=O)C2=CC3=C(C=C2)N=C(C(=N3)C4=CC=CO4)C5=CC=CO5,7.9433,61.81,1.4641,0.9746,-65.27,-3.46,-1.2,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-61.5,-6.85,-2.6,-6.1,-4.85,,-3.35,-7.6,-13.35,,-27.35,-38.35,-43.35,-52.6,,-60.75
,26661534,2384301,CC1=CC=C(C=C1)S(=O)(=O)N(C)C2=NC3=CC=CC=C3NC2=S,70.7946,25.14,0.6,0.7623,-33.16,-8.02,-2.4,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-22.8,-6.35,-7.6,-8.9,-10.95,,-10.9,-12.95,-11.45,,-11.45,-14.95,-12.7,-15.45,,-23.55
,22411474,2488340,CN(C1=CC=C(C=C1)O)C(=S)NC2=CN=CC=C2,7.0795,24.1,1.331,0.9419,-30.72,-6.62,-1.4,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-30.6,-5.35,-7.35,-8.85,-5.85,,-7.35,-10.1,-12.85,,-18.85,-18.1,-24.1,-26.85,,-28.85
,24834511,2557762,CCOC(=O)C1=CC=C(C=C1)S(=O)(=O)NC2=NC3=C(S2)C=CC(=C3)S(=O)(=O)NC4=NCCCCC4,12.5893,35.68,1.2221,0.9625,-44.5,-8.82,-1.2,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-42,-7.35,-10.45,-9.4,-10.2,,-9.15,-11.45,-12.2,,-17.75,-25.3,-27.3,-31.9,,-42.25
,57288391,2789721,COC(=O)C1CCC2=C1C(=C(S2)N)C(=O)OC,,,,,,,4,0 0 0 0 0 0 0 0 0 0,-9.7403,,-1.0823,1.0823,,-3.2468,-3.7879,-5.9524,,-5.9524,,-8.1169,-8.1169,-7.0346,-9.7403,
,24272856,2790634,CC1=CC=C(C=C1)OCCCC(=O)NC2=C(C3=C(S2)CCC3C(=O)OC)C(=O)OC,3.9811,29.1777,3.0654,0.9597,-39.095,-9.9174,-1.2,0 0 0 0 0 0 0 0 0 0,-35.5372,,-9.0909,-9.9174,,-8.2645,-10.7438,-14.876,,-18.1818,,-40.4959,-38.843,-38.0165,-35.5372,
,24272882,2790650,CC(C)(C)C1=CC=C(C=C1)OCCCC(=O)NC2=C(C3=C(S2)CCC3C(=O)OC)C(=O)OC,63.0957,17.72,1.3723,0.8799,-20.52,-2.8,-2.4,0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-12.7,-2.6,-3.3,-2.4,-2.95,,-12.2,-3.5,-2.95,,-3.65,-4.75,-4.75,-5.65,,-14.9
,24272907,2790671,CC1=CC(=CC=C1)OCCCC(=O)NC2=C(C3=C(S2)CCC3C(=O)OC)C(=O)OC,1.4125,42.8,1.6259,0.9935,-44.18,-1.38,-1.2,1 0 0 0 0 0 0 0 0 0,-44,,-14.4,-3.2,,-7.2,-16.8,-24,,-37.6,,-42.4,-44,-43.2,-44,
,26727964,2795856,CC(C)(C)C1=CC=C(C=C1)NC(=O)N2CCN(CC2)C3=NC=C(C=C3)[N+](=O)[O-],,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0,-11.7,-2.6,-4.1,-5.1,-2.85,,-3.85,-4.6,-3.6,,-5.1,-8.4,-6.6,-7.85,,-12.95
,57288395,2814251,CCOC(=O)C1=NN(C(=O)C2=C(SC=C21)NC(=O)C)C3=CC=CC=C3,12.5893,52.4381,4.5045,0.9958,-55.6376,-3.1996,-3,0 0 0 0 0 0 0 1 0 1,-14.2933,,-4.7644,-1.5881,,-1.5881,-3.7057,-4.235,,-2.6469,,-6.8819,-3.1763,-54.5262,-14.2933,
,14746106,2877257,CC1=C(SC(=N1)NC(=O)C)C2=CSC(=N2)NC3=CC=C(C=C3)OC.Br,50.1187,31.72,0.9,0.712,-31.72,0,-2.4,0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0,-23.1,-2.5,2.9,-1.7,-13.9,,0.75,-2,2.4,,-5.2,-8.2,-10.9,1,,-22.3
,850961,2877277,CC1=C(SC(=N1)NC(=O)C)C2=CSC(=N2)NC3=CC=C(C=C3)O.Br,50.1187,52.755,1.8265,0.9064,-57.825,-5.07,-2.2,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1,-26.1,-7.6,-4.35,-8.1,-6.6,,-4.85,-6.1,-6.6,,-7.6,-9.35,-8.85,-14.6,,-38.2
,17388235,2902308,CC1=C(SC(=N1)NC(=O)C)C2=CSC(=N2)NC3=CC(=CC=C3)[N+](=O)[O-],39.8107,20.02,4.9549,0.9455,-22.02,-2,-2.4,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-21.4,-2.6,-2.75,-1.85,-2.05,,-0.95,-2.2,-2.05,,-2.2,-3.45,-0.95,-3.65,,-21.75
,24415951,2916654,COC1=CC(=C(C=C1)OC)NC(=O)C2=C(SC3=C2CCCC3)NCC4=CC=CS4,,,,,,,4,0 0 0 0 0 0 0 0 0 0,10.3339,,2.3847,5.5644,,5.5644,11.1288,12.7186,,15.8983,,15.1033,14.3084,13.5135,10.3339,
,26658061,2939678,C1=CC=C2C(=C1)C(=CC(=C2O)SCC(=O)O)NS(=O)(=O)C3=CC=CC(=C3)[N+](=O)[O-],2.8184,37.92,1.1,0.9818,-39.72,-1.8,-1.2,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-38.8,-2.25,-2.05,-3.85,-5.7,,-10.9,-14.35,-19.25,,-29.2,-32.45,-33.15,-35.35,,-39.7
,14729805,2971796,CC1=CC=C(C=C1)NC(=O)N2CCN(CC2)C3=CC=CC=N3,,,,,,,4,,-9.1,-5.35,-7.35,-7.6,-8.9,,-9.4,-7.85,-6.1,,-8.35,-5.85,-6.6,-8.9,,-9.65
,17413594,2976659,C1COCCN1C2=C(C=C(C=C2)C(=O)NC3=CC=C(C=C3)C4=NC5=CC=CC=C5O4)[N+](=O)[O-],0.7079,21.4857,3.0654,0.7806,-30.9945,-9.5087,-1.4,0 0 0 0 0 0 0 0 0 1,-19.8098,,-7.9239,-14.2631,,-10.3011,-25.3566,-27.7338,,-34.0729,,-40.412,-28.5261,-22.9794,-19.8098,
,17431920,2980171,COC1=CC2=C(C=C1)OC(=N2)C3=CC=C(C=C3)NC(=O)C4=CC(=C(C=C4)N5CCOCC5)[N+](=O)[O-],,,,,,,4,,-0.9,-2.25,-3.55,-2.5,-4.15,,-4.4,-7.1,-7.4,,-4.95,-5.2,-6.8,-6,,-2.5
,3716574,2999671,CCN1C2=C(C=C(C=C2)C(=O)O)N=C1CSC3=NC=CN3C,50.1187,51.77,1.6266,0.9504,-56.52,-4.75,-2.2,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-47.1,-1.6,-4.1,-5.35,-5.1,,-2.1,-7.6,-5.6,,-6.35,-10.85,-10.6,-16.35,,-44.6
,24826318,3032310,C1C2=CC=CC=C2NC1=S,,,,,,,4,1 0 0 0 0 0 0 0 0 0,-9.539,,-21.4626,-23.0525,,-22.2576,-31.0016,-32.5914,,-27.027,,-21.4626,-15.1033,-10.3339,-9.539,
,24272199,3119666,C1CCC2=C(C1)C(=C(S2)NC(=O)CC3=CC=CC=C3)C(=O)NC4=CC=C(C=C4)Cl,0.8913,29.9366,1.8851,0.9445,-33.8384,-3.9017,-1.2,0 0 0 0 0 0 0 0 0 0,-32.4881,,-1.5848,-8.7163,,-11.8859,-14.2631,-33.2805,,-30.1109,,-34.8653,-33.2805,-33.2805,-32.4881,
,57288370,3119666,C1CCC2=C(C1)C(=C(S2)NC(=O)CC3=CC=CC=C3)C(=O)NC4=CC=C(C=C4)Cl,,,,,,,4,0 0 0 0 0 0 0 0 0 0,0.7949,,-3.9746,-2.3847,,-6.3593,-3.9746,-3.9746,,-3.1797,,0,1.5898,3.9746,0.7949,
